feature_code,name,type,date_code,smokes,type_of_tenure,household_type,sex,long_term_condition,age,sm_lower_ci,sm_upper_ci,sm_percent
S12000011,East Renfrewshire,Local Authority,2012,Yes,All,All,All,All,65 and over,2,11.1,6.5
S12000035,Argyll and Bute,Local Authority,2017,Yes,All,All,All,All,65 and over,4.3,12.8,8.6
S08000026,Shetland,NHS Health Board,2017,Yes,All,All,All,All,16-64,18.9,33.6,26.2
S08000020,Grampian,NHS Health Board,2018,Yes,All,All,All,All,16-64,16.1,20.9,18.5
S08000019,Forth Valley,NHS Health Board,2018,Yes,All,All,All,All,All,13,18,15.5
S08000029,Fife,NHS Health Board,2012,Yes,All,All,All,All,16-64,23.8,30.6,27.2
S08000022,Highland,NHS Health Board,2018,No,All,All,All,All,65 and over,88.8,94.3,91.6
S08000029,Fife,NHS Health Board,2013,Yes,All,All,All,All,16-64,23.6,30.3,26.9
S12000014,Falkirk,Local Authority,2014,Yes,All,All,All,All,35-64,16.7,27.6,22.2
S08000024,Lothian,NHS Health Board,2017,Yes,All,All,All,All,35-64,16.3,21,18.6
S08000030,Tayside,NHS Health Board,2014,Yes,All,All,All,All,35-64,21.7,29.5,25.6
S08000029,Fife,NHS Health Board,2013,Yes,All,All,All,All,65 and over,6,11.8,8.9
S12000006,Dumfries and Galloway,Local Authority,2015,Yes,All,All,All,All,All,19.2,26.5,22.9
S12000008,East Ayrshire,Local Authority,2015,Yes,All,All,All,All,All,16.7,25.4,21
S12000048,Perth and Kinross,Local Authority,2017,Yes,All,All,All,All,16-34,7.4,25.5,16.5
S08000022,Highland,NHS Health Board,2017,Yes,All,All,All,All,16-64,17.2,24.3,20.7
S12000026,Scottish Borders,Local Authority,2014,Yes,All,All,All,All,35-64,16.3,28.3,22.3
S12000020,Moray,Local Authority,2017,Yes,All,All,All,All,35-64,15.5,28.6,22
S08000022,Highland,NHS Health Board,2018,Yes,All,All,All,All,65 and over,5.7,11.2,8.4
S12000008,East Ayrshire,Local Authority,2017,Yes,All,All,All,All,16-64,16.1,27.7,21.9
S12000027,Shetland Islands,Local Authority,2014-2017,Yes,All,All,All,All,All,16.7,22.4,19.6
S12000011,East Renfrewshire,Local Authority,2014,Yes,All,All,All,All,16-34,6.3,28.8,17.6
S08000024,Lothian,NHS Health Board,2018,Yes,All,All,All,All,65 and over,6.9,11.1,9
S08000024,Lothian,NHS Health Board,2018,Yes,All,All,All,All,16-34,13.6,19.4,16.5
S12000049,Glasgow City,Local Authority,2018,No,All,All,All,All,16-64,74.9,80.2,77.6
S12000029,South Lanarkshire,Local Authority,2014-2017,Yes,All,All,All,All,All,17.5,20.5,19
S08000024,Lothian,NHS Health Board,2018,Yes,All,All,All,All,35-64,14.8,19.1,17
S08000022,Highland,NHS Health Board,2018,Yes,All,All,All,All,16-34,17.4,33.7,25.5
S12000014,Falkirk,Local Authority,2013,No,All,All,All,All,All,73.2,81.9,77.5
S08000029,Fife,NHS Health Board,2015,Yes,All,All,All,All,16-64,22.3,29.6,25.9
S12000006,Dumfries and Galloway,Local Authority,2012-2013,No,All,All,All,All,All,76,80.6,78.3
S08000020,Grampian,NHS Health Board,2012,Yes,All,All,All,All,16-64,21.9,27.4,24.6
S08000028,Western Isles,NHS Health Board,2012,Yes,All,All,All,All,16-34,7.9,34.8,21.4
S08000022,Highland,NHS Health Board,2014,Yes,All,All,All,All,16-34,19.9,33,26.4
S12000006,Dumfries and Galloway,Local Authority,2014-2015,Yes,All,All,All,All,All,20.5,26,23.3
S08000025,Orkney,NHS Health Board,2012,Yes,All,All,All,All,16-34,9.6,37.3,23.5
S12000039,West Dunbartonshire,Local Authority,2012-2013,Yes,All,All,All,All,All,24.9,32.4,28.6
S08000028,Western Isles,NHS Health Board,2012,Yes,All,All,All,All,35-64,18.7,33,25.9
S08000026,Shetland,NHS Health Board,2012,Yes,All,All,All,All,16-34,13.4,34.8,24.1
S08000032,Lanarkshire,NHS Health Board,2015,Yes,All,All,All,All,16-34,17.6,26.4,22
S08000031,Greater Glasgow and Clyde,NHS Health Board,2014,Yes,All,All,All,All,All,21.1,24.3,22.7
S12000035,Argyll and Bute,Local Authority,2017,Yes,All,All,All,All,16-64,17.5,29.8,23.6
S12000005,Clackmannanshire,Local Authority,2012-2013,Yes,All,All,All,All,All,21.6,29.5,25.6
S12000038,Renfrewshire,Local Authority,2012-2015,Yes,All,All,All,All,All,22.1,26.2,24.1
S12000023,Orkney Islands,Local Authority,2012-2013,Yes,All,All,All,All,All,14.6,22.6,18.6
S08000022,Highland,NHS Health Board,2013,Yes,All,All,All,All,35-64,15.3,22.8,19
S08000015,Ayrshire and Arran,NHS Health Board,2014,Yes,All,All,All,All,16-34,16.9,28,22.5
S12000014,Falkirk,Local Authority,2016-2017,Yes,All,All,All,All,All,13.2,18.2,15.7
S12000047,Fife,Local Authority,2014,Yes,All,All,All,All,35-64,15.9,23.2,19.6
S12000040,West Lothian,Local Authority,2012-2013,Yes,All,All,All,All,All,18.7,24.5,21.6
S12000038,Renfrewshire,Local Authority,2012-2013,Yes,All,All,All,All,All,23.2,29,26.1
S12000006,Dumfries and Galloway,Local Authority,2016,Yes,All,All,All,All,All,19.1,27.2,23.2
S08000032,Lanarkshire,NHS Health Board,2013,Yes,All,All,All,All,All,23.2,27.9,25.6
S08000028,Western Isles,NHS Health Board,2015,Yes,All,All,All,All,65 and over,8.9,24.3,16.6
S08000022,Highland,NHS Health Board,2012,Yes,All,All,All,All,16-64,23.6,31.3,27.5
S12000047,Fife,Local Authority,2014,Yes,All,All,All,All,16-34,22.2,35.5,28.8
S08000024,Lothian,NHS Health Board,2012,Yes,All,All,All,All,16-34,20.2,27.3,23.8
S12000013,Na h-Eileanan Siar,Local Authority,2016-2017,Yes,All,All,All,All,All,14.9,21.5,18.2
S12000026,Scottish Borders,Local Authority,2012-2013,Yes,All,All,All,All,All,18.1,24,21.1
S08000016,Borders,NHS Health Board,2015,Yes,All,All,All,All,16-34,16.2,45.8,31
S08000015,Ayrshire and Arran,NHS Health Board,2012,Yes,All,All,All,All,35-64,21.8,29.3,25.6
S08000032,Lanarkshire,NHS Health Board,2014,Yes,All,All,All,All,35-64,17.4,23.1,20.3
S12000034,Aberdeenshire,Local Authority,2014-2017,Yes,All,All,All,All,All,16.3,19.6,18
S08000016,Borders,NHS Health Board,2015,Yes,All,All,All,All,35-64,10.6,21.4,16
S08000031,Greater Glasgow and Clyde,NHS Health Board,2012,Yes,All,All,All,All,35-64,28.2,33.1,30.6
S08000028,Western Isles,NHS Health Board,2015,Yes,All,All,All,All,35-64,20.4,33.9,27.1
S08000024,Lothian,NHS Health Board,2012,Yes,All,All,All,All,16-64,22.3,27,24.7
S12000027,Shetland Islands,Local Authority,2013,Yes,All,All,All,All,65 and over,8.7,36.3,22.5
S08000020,Grampian,NHS Health Board,2013,Yes,All,All,All,All,16-34,22,32.4,27.2
S08000016,Borders,NHS Health Board,2012,Yes,All,All,All,All,16-64,17.5,28.8,23.1
S12000020,Moray,Local Authority,2017,Yes,All,All,All,All,16-64,17.1,29,23.1
S08000019,Forth Valley,NHS Health Board,2012,Yes,All,All,All,All,16-64,21.1,27.6,24.4
S08000025,Orkney,NHS Health Board,2015,Yes,All,All,All,All,16-34,13.2,37.3,25.3
S08000032,Lanarkshire,NHS Health Board,2019,No,All,All,All,All,All,78.7,82.8,80.8
S12000019,Midlothian,Local Authority,2014-2017,Yes,All,All,All,All,All,18.4,24.3,21.3
S12000038,Renfrewshire,Local Authority,2014-2017,Yes,All,All,All,All,All,18.5,22.4,20.4
S12000042,Dundee City,Local Authority,2018,No,All,All,All,All,35-64,66.6,79.7,73.2
S12000020,Moray,Local Authority,2012,Yes,All,All,All,All,65 and over,4.3,16.8,10.6
S12000045,East Dunbartonshire,Local Authority,2017,Yes,All,All,All,All,16-64,8.6,17.8,13.2
S12000005,Clackmannanshire,Local Authority,2016,Yes,All,All,All,All,All,14,26.1,20.1
S08000026,Shetland,NHS Health Board,2013,Yes,All,All,All,All,35-64,9.9,26.2,18.1
S08000015,Ayrshire and Arran,NHS Health Board,2012,Yes,All,All,All,All,16-34,23.3,37.5,30.4
S08000016,Borders,NHS Health Board,2013,Yes,All,All,All,All,35-64,14.9,27.2,21
S08000016,Borders,NHS Health Board,2014,Yes,All,All,All,All,16-64,15.2,25.2,20.2
S12000026,Scottish Borders,Local Authority,2017,Yes,All,All,All,All,All,11.9,21,16.4
S08000024,Lothian,NHS Health Board,2015,Yes,All,All,All,All,16-34,15.9,23.8,19.9
S12000030,Stirling,Local Authority,2018,No,All,All,All,All,16-34,72.3,92.5,82.4
S12000005,Clackmannanshire,Local Authority,2018,No,All,All,All,All,65 and over,71.5,90,80.8
S12000039,West Dunbartonshire,Local Authority,2018,No,All,All,All,All,16-34,71.4,90.4,80.9
S08000028,Western Isles,NHS Health Board,2015,Yes,All,All,All,All,16-34,6.2,24.6,15.4
S08000025,Orkney,NHS Health Board,2012,Yes,All,All,All,All,16-64,13.2,24.3,18.7
S08000017,Dumfries and Galloway,NHS Health Board,2012,Yes,All,All,All,All,16-64,23.3,32.3,27.8
S12000008,East Ayrshire,Local Authority,2013,Yes,All,All,All,All,35-64,17.4,33.5,25.4
S12000030,Stirling,Local Authority,2013,Yes,All,All,All,All,35-64,14.2,26.4,20.3
S12000026,Scottish Borders,Local Authority,2013,Yes,All,All,All,All,All,14.6,23.1,18.8
S12000006,Dumfries and Galloway,Local Authority,2013,Yes,All,All,All,All,35-64,19.5,30.4,24.9
S12000027,Shetland Islands,Local Authority,2013,Yes,All,All,All,All,16-34,4.9,29.2,17
S12000030,Stirling,Local Authority,2013,Yes,All,All,All,All,16-34,13.5,32.8,23.1
S12000038,Renfrewshire,Local Authority,2014,Yes,All,All,All,All,35-64,17.4,28.9,23.2
S12000030,Stirling,Local Authority,2013,Yes,All,All,All,All,All,14.2,22.9,18.5
S12000028,South Ayrshire,Local Authority,2016,Yes,All,All,All,All,16-34,16.6,40.9,28.8
S12000029,South Lanarkshire,Local Authority,2013,Yes,All,All,All,All,All,19.7,26.1,22.9
S12000033,Aberdeen City,Local Authority,2013,Yes,All,All,All,All,All,20.4,28.2,24.3
S12000030,Stirling,Local Authority,2016,Yes,All,All,All,All,35-64,9.7,19.5,14.6
S12000021,North Ayrshire,Local Authority,2014,Yes,All,All,All,All,16-34,14,31.5,22.7
S12000038,Renfrewshire,Local Authority,2014,Yes,All,All,All,All,16-64,17.5,28.4,23
S12000013,Na h-Eileanan Siar,Local Authority,2014,Yes,All,All,All,All,16-64,25.4,41.7,33.5
S12000049,Glasgow City,Local Authority,2014,Yes,All,All,All,All,All,23.8,28.4,26.1
S12000005,Clackmannanshire,Local Authority,2014,Yes,All,All,All,All,16-64,24.9,41.3,33.1
S12000040,West Lothian,Local Authority,2013,Yes,All,All,All,All,16-64,16.4,26.2,21.3
S12000019,Midlothian,Local Authority,2015,Yes,All,All,All,All,16-34,8.9,47.6,28.3
S12000006,Dumfries and Galloway,Local Authority,2014,Yes,All,All,All,All,16-64,24.6,35.7,30.2
S12000041,Angus,Local Authority,2014,Yes,All,All,All,All,16-64,19.7,31.9,25.8
S12000049,Glasgow City,Local Authority,2012,Yes,All,All,All,All,16-34,18,25.7,21.8
S12000018,Inverclyde,Local Authority,2015,Yes,All,All,All,All,35-64,23.8,37.9,30.8
S12000033,Aberdeen City,Local Authority,2013,Yes,All,All,All,All,16-64,22.8,31.8,27.3
S12000023,Orkney Islands,Local Authority,2015,Yes,All,All,All,All,16-34,13.2,37.3,25.3
S12000034,Aberdeenshire,Local Authority,2013,Yes,All,All,All,All,16-64,18.8,28.4,23.6
S12000028,South Ayrshire,Local Authority,2014,Yes,All,All,All,All,16-34,9.7,30,19.8
S12000049,Glasgow City,Local Authority,2012,Yes,All,All,All,All,65 and over,14,21.3,17.7
S12000042,Dundee City,Local Authority,2012,Yes,All,All,All,All,All,23.7,33.8,28.7
S12000045,East Dunbartonshire,Local Authority,2012,Yes,All,All,All,All,All,8.8,15.3,12.1
S12000036,City of Edinburgh,Local Authority,2014,Yes,All,All,All,All,35-64,15.7,22.2,18.9
S12000050,North Lanarkshire,Local Authority,2013,Yes,All,All,All,All,16-64,25.2,33,29.1
S12000033,Aberdeen City,Local Authority,2012,Yes,All,All,All,All,16-34,14.9,26.7,20.8
S12000010,East Lothian,Local Authority,2013,Yes,All,All,All,All,35-64,16.6,30.8,23.7
S12000029,South Lanarkshire,Local Authority,2013,Yes,All,All,All,All,16-64,21.9,29.6,25.7
S12000026,Scottish Borders,Local Authority,2013,Yes,All,All,All,All,35-64,14.9,27.2,21
S12000011,East Renfrewshire,Local Authority,2013,Yes,All,All,All,All,All,7.1,19.4,13.3
S12000038,Renfrewshire,Local Authority,2013,Yes,All,All,All,All,All,18.8,27.1,22.9
S12000006,Dumfries and Galloway,Local Authority,2016,Yes,All,All,All,All,16-34,23.3,44.9,34.1
S12000029,South Lanarkshire,Local Authority,2013,Yes,All,All,All,All,35-64,21.2,30.2,25.7
S12000008,East Ayrshire,Local Authority,2013,Yes,All,All,All,All,All,18.2,29.2,23.7
S12000034,Aberdeenshire,Local Authority,2014,Yes,All,All,All,All,35-64,18.2,27.6,22.9
S12000029,South Lanarkshire,Local Authority,2012,Yes,All,All,All,All,All,20.8,27.4,24.1
S12000010,East Lothian,Local Authority,2013,Yes,All,All,All,All,16-34,13.9,37.9,25.9
S12000011,East Renfrewshire,Local Authority,2013,Yes,All,All,All,All,16-34,2,24.7,13.4
S12000008,East Ayrshire,Local Authority,2013,Yes,All,All,All,All,16-34,13.1,37,25
S12000030,Stirling,Local Authority,2012,Yes,All,All,All,All,All,16,26.1,21.1
S12000028,South Ayrshire,Local Authority,2013,Yes,All,All,All,All,All,16.9,26.3,21.6
S12000036,City of Edinburgh,Local Authority,2014,Yes,All,All,All,All,16-34,13.8,21.9,17.8
S12000042,Dundee City,Local Authority,2014,Yes,All,All,All,All,16-64,23.3,34.4,28.8
S12000042,Dundee City,Local Authority,2013,Yes,All,All,All,All,16-64,20.7,30,25.4
S12000045,East Dunbartonshire,Local Authority,2013,Yes,All,All,All,All,16-64,8.7,21.3,15
S12000035,Argyll and Bute,Local Authority,2013,Yes,All,All,All,All,16-64,23.6,40.8,32.2
S12000049,Glasgow City,Local Authority,2013,Yes,All,All,All,All,35-64,30.5,37.4,34
S08000026,Shetland,NHS Health Board,2014,Yes,All,All,All,All,All,14,25.6,19.8
S12000040,West Lothian,Local Authority,2014,Yes,All,All,All,All,16-64,14.2,26.3,20.2
S08000026,Shetland,NHS Health Board,2015,Yes,All,All,All,All,16-64,12.3,23.2,17.7
S12000010,East Lothian,Local Authority,2018,No,All,All,All,All,16-34,70.3,91.8,81.1
S08000032,Lanarkshire,NHS Health Board,2019,No,All,All,All,All,35-64,74.8,80.9,77.8
S12000030,Stirling,Local Authority,2014-2017,Yes,All,All,All,All,All,12.4,16.4,14.4
S12000049,Glasgow City,Local Authority,2017,Yes,All,All,All,All,All,20.5,25.1,22.8
S12000036,City of Edinburgh,Local Authority,2014,Yes,All,All,All,All,16-64,15.7,21.1,18.4
S12000029,South Lanarkshire,Local Authority,2014,Yes,All,All,All,All,16-34,24.1,39.9,32
S12000039,West Dunbartonshire,Local Authority,2013,Yes,All,All,All,All,16-64,20.4,33.3,26.9
S12000020,Moray,Local Authority,2013,Yes,All,All,All,All,16-64,18.1,32.4,25.2
S12000049,Glasgow City,Local Authority,2017,Yes,All,All,All,All,65 and over,15.4,24.2,19.8
S12000034,Aberdeenshire,Local Authority,2012,Yes,All,All,All,All,16-64,20.7,30,25.3
S12000049,Glasgow City,Local Authority,2012,Yes,All,All,All,All,35-64,29.3,36.9,33.1
S12000033,Aberdeen City,Local Authority,2012,Yes,All,All,All,All,16-64,20.4,28.7,24.5
S12000041,Angus,Local Authority,2013,Yes,All,All,All,All,16-64,19.1,30.4,24.7
S12000035,Argyll and Bute,Local Authority,2012,Yes,All,All,All,All,16-64,30,46.2,38.1
S12000020,Moray,Local Authority,2014,Yes,All,All,All,All,16-64,18.9,29.2,24.1
S12000018,Inverclyde,Local Authority,2014,Yes,All,All,All,All,16-64,18.5,30.9,24.7
S12000008,East Ayrshire,Local Authority,2014,Yes,All,All,All,All,16-64,20.6,31,25.8
S12000050,North Lanarkshire,Local Authority,2012-2015,Yes,All,All,All,All,All,24.1,27.4,25.7
S08000022,Highland,NHS Health Board,2014,Yes,All,All,All,All,All,17.3,22.9,20.1
S08000028,Western Isles,NHS Health Board,2014,Yes,All,All,All,All,All,19.9,32.3,26.1
S08000024,Lothian,NHS Health Board,2012,Yes,All,All,All,All,All,20.5,24.6,22.6
S12000036,City of Edinburgh,Local Authority,2013,Yes,All,All,All,All,16-64,18,23.1,20.6
S12000017,Highland,Local Authority,2014,Yes,All,All,All,All,16-64,21.5,29.7,25.6
S08000025,Orkney,NHS Health Board,2014,Yes,All,All,All,All,All,12.4,21.6,17
S08000015,Ayrshire and Arran,NHS Health Board,2015,Yes,All,All,All,All,All,18.7,23.6,21.2
S12000011,East Renfrewshire,Local Authority,2012-2013,Yes,All,All,All,All,All,10.1,16.1,13.1
S12000049,Glasgow City,Local Authority,2015,Yes,All,All,All,All,16-64,23.7,28.7,26.2
S12000038,Renfrewshire,Local Authority,2013,Yes,All,All,All,All,16-64,19.6,29.6,24.6
S12000019,Midlothian,Local Authority,2012-2013,Yes,All,All,All,All,All,18.1,26.3,22.2
S12000028,South Ayrshire,Local Authority,2012-2013,Yes,All,All,All,All,All,15.5,21.2,18.4
S12000049,Glasgow City,Local Authority,2013,Yes,All,All,All,All,65 and over,14.7,22.2,18.4
S12000014,Falkirk,Local Authority,2012-2013,Yes,All,All,All,All,All,18.8,24.7,21.8
S12000020,Moray,Local Authority,2012-2013,Yes,All,All,All,All,All,18.1,25,21.5
S12000006,Dumfries and Galloway,Local Authority,2012-2013,Yes,All,All,All,All,All,19.4,24,21.7
S12000049,Glasgow City,Local Authority,2013,Yes,All,All,All,All,16-64,27.3,32.9,30.1
S12000018,Inverclyde,Local Authority,2015,Yes,All,All,All,All,16-34,12,30.7,21.4
S12000017,Highland,Local Authority,2012-2013,Yes,All,All,All,All,All,16.9,21.6,19.3
S12000033,Aberdeen City,Local Authority,2014,Yes,All,All,All,All,16-64,20.4,28.4,24.4
S12000018,Inverclyde,Local Authority,2018,No,All,All,All,All,35-64,72.8,86.6,79.7
S12000013,Na h-Eileanan Siar,Local Authority,2012-2013,Yes,All,All,All,All,All,18.1,25.1,21.6
S12000026,Scottish Borders,Local Authority,2018,No,All,All,All,All,35-64,79.8,91.5,85.6
S08000028,Western Isles,NHS Health Board,2017,Yes,All,All,All,All,16-34,8.3,25.3,16.8
S12000036,City of Edinburgh,Local Authority,2018,No,All,All,All,All,35-64,79.3,85.3,82.3
S12000042,Dundee City,Local Authority,2013,Yes,All,All,All,All,65 and over,11,23.8,17.4
S12000038,Renfrewshire,Local Authority,2018,No,All,All,All,All,65 and over,77.8,88.9,83.4
S12000045,East Dunbartonshire,Local Authority,2012-2013,Yes,All,All,All,All,All,8.8,13.9,11.3
S12000033,Aberdeen City,Local Authority,2016,Yes,All,All,All,All,16-34,13.1,23.3,18.2
S12000010,East Lothian,Local Authority,2013,Yes,All,All,All,All,All,15.9,26,20.9
S12000038,Renfrewshire,Local Authority,2014,Yes,All,All,All,All,16-34,11.3,33.9,22.6
S12000023,Orkney Islands,Local Authority,2016,Yes,All,All,All,All,35-64,6.5,19.7,13.1
S12000034,Aberdeenshire,Local Authority,2014,Yes,All,All,All,All,16-34,15.9,31.6,23.7
S12000017,Highland,Local Authority,2014,Yes,All,All,All,All,All,17.5,24.1,20.8
S12000013,Na h-Eileanan Siar,Local Authority,2013,Yes,All,All,All,All,All,16.8,26.7,21.8
S12000027,Shetland Islands,Local Authority,2016,Yes,All,All,All,All,16-34,13.8,47.8,30.8
S12000041,Angus,Local Authority,2013,Yes,All,All,All,All,All,16.8,25.8,21.3
S12000027,Shetland Islands,Local Authority,2013,Yes,All,All,All,All,All,12.7,24.7,18.7
S12000011,East Renfrewshire,Local Authority,2014,Yes,All,All,All,All,All,12.8,22.6,17.7
S12000030,Stirling,Local Authority,2018,No,All,All,All,All,16-64,77.8,88.8,83.3
S12000047,Fife,Local Authority,2018,No,All,All,All,All,16-34,72.8,86.6,79.7
S12000018,Inverclyde,Local Authority,2012-2013,Yes,All,All,All,All,All,24.2,31.9,28.1
S12000029,South Lanarkshire,Local Authority,2012-2015,Yes,All,All,All,All,All,20.2,23.3,21.8
S12000042,Dundee City,Local Authority,2012-2013,Yes,All,All,All,All,All,23,29.4,26.2
S12000049,Glasgow City,Local Authority,2014,Yes,All,All,All,All,16-64,24.6,29.9,27.2
S12000030,Stirling,Local Authority,2014,Yes,All,All,All,All,16-64,13.7,25.2,19.5
S12000011,East Renfrewshire,Local Authority,2014,Yes,All,All,All,All,16-64,12.8,25.1,18.9
S12000049,Glasgow City,Local Authority,2017,Yes,All,All,All,All,16-64,20.8,25.9,23.4
S12000005,Clackmannanshire,Local Authority,2014,Yes,All,All,All,All,35-64,24.1,42.2,33.1
S12000008,East Ayrshire,Local Authority,2014,Yes,All,All,All,All,35-64,20.6,32.6,26.6
S12000008,East Ayrshire,Local Authority,2016-2017,Yes,All,All,All,All,All,17.5,23.9,20.7
S12000010,East Lothian,Local Authority,2014,Yes,All,All,All,All,16-34,13.7,51.6,32.6
S12000010,East Lothian,Local Authority,2015,Yes,All,All,All,All,16-64,17.7,32.8,25.2
S12000033,Aberdeen City,Local Authority,2014,Yes,All,All,All,All,35-64,15.8,24.3,20.1
S12000045,East Dunbartonshire,Local Authority,2013,Yes,All,All,All,All,35-64,8.7,23.7,16.2
S12000033,Aberdeen City,Local Authority,2014,Yes,All,All,All,All,16-34,22.5,35.9,29.2
S12000005,Clackmannanshire,Local Authority,2013,Yes,All,All,All,All,16-34,9.6,32.8,21.2
S12000040,West Lothian,Local Authority,2012,Yes,All,All,All,All,All,19.7,28.8,24.2
S12000014,Falkirk,Local Authority,2014,Yes,All,All,All,All,16-64,22,32.1,27.1
S12000019,Midlothian,Local Authority,2014,Yes,All,All,All,All,16-64,18.7,31.9,25.3
S12000029,South Lanarkshire,Local Authority,2014,Yes,All,All,All,All,35-64,12.8,20.6,16.7
S12000010,East Lothian,Local Authority,2014,Yes,All,All,All,All,16-64,13.6,28.4,21
S08000019,Forth Valley,NHS Health Board,2014,Yes,All,All,All,All,All,20.2,26,23.1
S08000028,Western Isles,NHS Health Board,2012,Yes,All,All,All,All,All,16.4,26.3,21.3
S92000003,Scotland,Scotland,2013,Yes,All,All,All,All,16-64,24,25.8,24.9
S12000013,Na h-Eileanan Siar,Local Authority,2012,Yes,All,All,All,All,16-34,7.9,34.8,21.4
S08000025,Orkney,NHS Health Board,2012,Yes,All,All,All,All,All,12.6,21.5,17.1
S08000020,Grampian,NHS Health Board,2014,Yes,All,All,All,All,All,19.2,23.5,21.4
S08000017,Dumfries and Galloway,NHS Health Board,2014,Yes,All,All,All,All,All,19.6,27.8,23.7
S08000022,Highland,NHS Health Board,2012,Yes,All,All,All,All,All,20.8,27,23.9
S12000008,East Ayrshire,Local Authority,2012,Yes,All,All,All,All,16-34,20.7,44.4,32.5
S12000049,Glasgow City,Local Authority,2014,Yes,All,All,All,All,65 and over,16.6,24.7,20.6
S08000024,Lothian,NHS Health Board,2014,Yes,All,All,All,All,All,16.6,20.5,18.6
S12000017,Highland,Local Authority,2015,Yes,All,All,All,All,16-34,18.6,40.3,29.5
S12000040,West Lothian,Local Authority,2016-2017,Yes,All,All,All,All,All,15.4,21.5,18.4
S12000021,North Ayrshire,Local Authority,2014,Yes,All,All,All,All,35-64,23.1,35.1,29.1
S08000026,Shetland,NHS Health Board,2012,Yes,All,All,All,All,All,14.1,25.2,19.6
S08000020,Grampian,NHS Health Board,2012,Yes,All,All,All,All,All,19.9,24.6,22.2
S12000039,West Dunbartonshire,Local Authority,2012,Yes,All,All,All,All,All,27.6,39.2,33.4
S12000020,Moray,Local Authority,2014,Yes,All,All,All,All,35-64,17.4,29.4,23.4
S92000003,Scotland,Scotland,2012,Yes,All,All,All,All,All,23,24.5,23.8
S12000030,Stirling,Local Authority,2012,Yes,All,All,All,All,16-34,12.2,38,25.1
S12000038,Renfrewshire,Local Authority,2012,Yes,All,All,All,All,All,23.6,31.8,27.7
S12000005,Clackmannanshire,Local Authority,2013,Yes,All,All,All,All,All,15.5,26.8,21.1
S12000028,South Ayrshire,Local Authority,2015,Yes,All,All,All,All,16-34,15.4,36.9,26.1
S12000014,Falkirk,Local Authority,2015,Yes,All,All,All,All,16-64,13.3,21.5,17.4
S12000035,Argyll and Bute,Local Authority,2014,Yes,All,All,All,All,16-64,15.5,28.5,22
S12000034,Aberdeenshire,Local Authority,2014,Yes,All,All,All,All,16-64,19.1,27.3,23.2
S12000027,Shetland Islands,Local Authority,2012,Yes,All,All,All,All,35-64,13.6,29.9,21.7
S12000026,Scottish Borders,Local Authority,2014,Yes,All,All,All,All,16-34,7,23.9,15.5
S12000030,Stirling,Local Authority,2012,Yes,All,All,All,All,35-64,15.3,28.4,21.9
S12000018,Inverclyde,Local Authority,2013,Yes,All,All,All,All,35-64,20.3,36.1,28.2
S12000014,Falkirk,Local Authority,2013,Yes,All,All,All,All,16-34,14.8,35.9,25.3
S12000041,Angus,Local Authority,2014,Yes,All,All,All,All,16-34,12.1,34.1,23.1
S12000040,West Lothian,Local Authority,2014,Yes,All,All,All,All,35-64,10.6,23.4,17
S12000042,Dundee City,Local Authority,2013,Yes,All,All,All,All,35-64,20.7,33.9,27.3
S12000041,Angus,Local Authority,2012,Yes,All,All,All,All,35-64,20.2,32.8,26.5
S12000026,Scottish Borders,Local Authority,2016,Yes,All,All,All,All,16-34,5.6,26.2,15.9
S12000030,Stirling,Local Authority,2014,Yes,All,All,All,All,35-64,15.2,30.8,23
S12000035,Argyll and Bute,Local Authority,2014,Yes,All,All,All,All,16-34,9.9,39.1,24.5
S12000035,Argyll and Bute,Local Authority,2012,Yes,All,All,All,All,All,26.2,38.9,32.6
S12000023,Orkney Islands,Local Authority,2013,Yes,All,All,All,All,35-64,7.5,22.3,14.9
S12000005,Clackmannanshire,Local Authority,2016-2017,Yes,All,All,All,All,All,15.7,24.6,20.1
S12000028,South Ayrshire,Local Authority,2012,Yes,All,All,All,All,All,11.6,19.4,15.5
S12000018,Inverclyde,Local Authority,2015,Yes,All,All,All,All,16-64,21.7,33.3,27.5
S12000040,West Lothian,Local Authority,2015,Yes,All,All,All,All,35-64,15.3,26.3,20.8
S12000013,Na h-Eileanan Siar,Local Authority,2015,Yes,All,All,All,All,16-64,18,29.2,23.6
S12000011,East Renfrewshire,Local Authority,2015,Yes,All,All,All,All,16-64,6.2,14.6,10.4
S12000038,Renfrewshire,Local Authority,2012,Yes,All,All,All,All,16-64,26.7,36.5,31.6
S12000023,Orkney Islands,Local Authority,2014,Yes,All,All,All,All,35-64,11.7,25.7,18.7
S12000040,West Lothian,Local Authority,2012,Yes,All,All,All,All,16-34,18.9,40.1,29.5
S12000006,Dumfries and Galloway,Local Authority,2016-2017,Yes,All,All,All,All,All,18.7,24.3,21.5
S12000020,Moray,Local Authority,2014,Yes,All,All,All,All,16-34,16.1,34.4,25.2
S12000011,East Renfrewshire,Local Authority,2015,Yes,All,All,All,All,16-34,0,13.9,6.9
S12000042,Dundee City,Local Authority,2013,Yes,All,All,All,All,16-34,16.3,29.9,23.1
S12000041,Angus,Local Authority,2013,Yes,All,All,All,All,16-34,18.6,42.4,30.5
S12000041,Angus,Local Authority,2013,Yes,All,All,All,All,35-64,15.4,28.3,21.9
S12000027,Shetland Islands,Local Authority,2015,Yes,All,All,All,All,16-64,12.3,23.2,17.7
